detection,pixels,snapshot,time
162,5751,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_162.png,1775528456.93
163,5624,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_163.png,1775528457.14
164,5490,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_164.png,1775528457.34
165,5461,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_165.png,1775528457.53
166,5673,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_166.png,1775528457.73
167,6209,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_167.png,1775528457.94
168,5096,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_168.png,1775528458.14
169,5169,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_169.png,1775528458.33
170,5455,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_170.png,1775528458.53
171,4149,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_171.png,1775528458.73
172,5739,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_172.png,1775528458.96
173,6210,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_173.png,1775528459.14
174,5760,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_174.png,1775528459.33
175,5596,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_175.png,1775528459.53
176,4618,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_176.png,1775528459.73
177,3489,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_177.png,1775528459.94
178,3250,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_178.png,1775528460.13
179,4737,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_179.png,1775528460.33
180,1895,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_180.png,1775528461.73
181,2550,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_181.png,1775528461.93
182,2783,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_182.png,1775528462.14
183,2760,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_183.png,1775528462.33
184,2888,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_184.png,1775528462.53
185,2902,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_185.png,1775528462.73
186,2950,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_186.png,1775528462.93
187,2943,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_187.png,1775528463.13
188,2928,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_188.png,1775528463.34
189,2914,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_189.png,1775528463.54
190,2941,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_190.png,1775528463.74
191,2929,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_191.png,1775528463.94
192,2930,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_192.png,1775528464.14
193,2940,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_193.png,1775528464.34
194,2908,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_194.png,1775528464.54
195,2876,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_195.png,1775528464.74
196,2856,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_196.png,1775528464.94
197,2897,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_197.png,1775528465.14
198,2870,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_198.png,1775528465.34
199,2879,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_199.png,1775528465.53
200,2890,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_200.png,1775528465.74
201,2893,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_201.png,1775528465.93
202,2901,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_202.png,1775528466.12
203,2887,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_203.png,1775528466.33
204,2894,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_204.png,1775528466.53
205,2900,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_205.png,1775528466.73
206,2887,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_206.png,1775528466.93
207,2894,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_207.png,1775528467.13
208,2877,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_208.png,1775528467.33
209,2885,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_209.png,1775528467.53
210,2899,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_210.png,1775528467.74
211,2881,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_211.png,1775528467.93
212,2891,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_212.png,1775528468.13
213,2873,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_213.png,1775528468.34
214,2846,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_214.png,1775528468.54
215,2821,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_215.png,1775528468.74
216,2844,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_216.png,1775528468.94
217,2843,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_217.png,1775528469.14
218,2838,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_218.png,1775528469.34
219,2842,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_219.png,1775528469.53
220,2839,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_220.png,1775528469.73
221,2847,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_221.png,1775528469.93
222,2870,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_222.png,1775528470.13
223,2852,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_223.png,1775528470.32
224,2865,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_224.png,1775528470.54
225,2825,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_225.png,1775528470.73
226,2886,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_226.png,1775528470.93
227,2866,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_227.png,1775528471.14
228,2863,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_228.png,1775528471.33
229,3362,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_229.png,1775528471.54
230,4255,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_230.png,1775528471.76
231,624,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_231.png,1775528473.13
232,649,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_232.png,1775528473.33
233,541,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_233.png,1775528473.92
234,686,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_234.png,1775528474.74
235,593,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_235.png,1775528535.73
236,588,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_236.png,1775528535.93
237,529,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_237.png,1775528536.12
238,675,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_238.png,1775528536.33
239,699,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_239.png,1775528536.53
240,849,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_240.png,1775528536.73
241,1002,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_241.png,1775528536.93
242,1135,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_242.png,1775528537.13
243,1068,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_243.png,1775528537.33
244,1228,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_244.png,1775528537.52
245,951,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_245.png,1775528537.73
246,1187,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_246.png,1775528537.94
247,1168,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_247.png,1775528538.14
248,1270,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_248.png,1775528538.33
249,1179,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_249.png,1775528538.53
250,1370,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_250.png,1775528538.74
251,1352,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_251.png,1775528538.93
252,1218,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_252.png,1775528539.13
253,1139,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_253.png,1775528539.34
